Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: IID
  Number of Clients: 3
  Rounds: 10
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 36.0248
Client 1, Epoch 2/5, Loss: 27.9601
Client 1, Epoch 3/5, Loss: 23.8614
Client 1, Epoch 4/5, Loss: 22.8412
Client 1, Epoch 5/5, Loss: 21.4817
Client 1 Accuracy (Round 3): 0.9979
Client 2, Epoch 1/5, Loss: 33.3281
Client 2, Epoch 2/5, Loss: 24.7241
Client 2, Epoch 3/5, Loss: 25.0403
Client 2, Epoch 4/5, Loss: 22.6694
Client 2, Epoch 5/5, Loss: 20.1757
Client 2 Accuracy (Round 3): 0.9995
Client 3, Epoch 1/5, Loss: 37.2065
Client 3, Epoch 2/5, Loss: 32.7972
Client 3, Epoch 3/5, Loss: 21.9897
Client 3, Epoch 4/5, Loss: 22.0929
Client 3, Epoch 5/5, Loss: 21.6134
Client 3 Accuracy (Round 3): 0.9995
Global Model, Round 3, Loss: 0.5671, Accuracy: 0.82

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 20.0376
Client 1, Epoch 2/5, Loss: 14.2843
Client 1, Epoch 3/5, Loss: 15.1526
Client 1, Epoch 4/5, Loss: 12.6822
Client 1, Epoch 5/5, Loss: 10.2470
Client 1 Accuracy (Round 4): 0.9998
Client 2, Epoch 1/5, Loss: 17.5511
Client 2, Epoch 2/5, Loss: 13.1739
Client 2, Epoch 3/5, Loss: 13.5743
Client 2, Epoch 4/5, Loss: 14.4813
Client 2, Epoch 5/5, Loss: 10.7244
Client 2 Accuracy (Round 4): 0.9997
Client 3, Epoch 1/5, Loss: 17.0474
Client 3, Epoch 2/5, Loss: 14.9960
Client 3, Epoch 3/5, Loss: 12.8665
Client 3, Epoch 4/5, Loss: 12.5692
Client 3, Epoch 5/5, Loss: 12.0874
Client 3 Accuracy (Round 4): 0.9995
Global Model, Round 4, Loss: 0.5766, Accuracy: 0.82

--- FedAvg: Round 5 ---
Client 1, Epoch 1/5, Loss: 9.7150
Client 1, Epoch 2/5, Loss: 9.7354
Client 1, Epoch 3/5, Loss: 10.2712
Client 1, Epoch 4/5, Loss: 9.4875
Client 1, Epoch 5/5, Loss: 6.1878
Client 1 Accuracy (Round 5): 0.9999
Client 2, Epoch 1/5, Loss: 12.1450
Client 2, Epoch 2/5, Loss: 9.5099
Client 2, Epoch 3/5, Loss: 9.3994
Client 2, Epoch 4/5, Loss: 8.0359
Client 2, Epoch 5/5, Loss: 7.6284
Client 2 Accuracy (Round 5): 0.9998
Client 3, Epoch 1/5, Loss: 11.3004
Client 3, Epoch 2/5, Loss: 8.5429
Client 3, Epoch 3/5, Loss: 9.0385
Client 3, Epoch 4/5, Loss: 6.8764
Client 3, Epoch 5/5, Loss: 7.3014
Client 3 Accuracy (Round 5): 0.9998
Global Model, Round 5, Loss: 0.5695, Accuracy: 0.83

--- FedAvg: Round 6 ---
Client 1, Epoch 1/5, Loss: 6.0145
Client 1, Epoch 2/5, Loss: 5.2879
Client 1, Epoch 3/5, Loss: 5.4166
Client 1, Epoch 4/5, Loss: 6.7908
Client 1, Epoch 5/5, Loss: 8.6514
Client 1 Accuracy (Round 6): 0.9999
Client 2, Epoch 1/5, Loss: 6.9323
Client 2, Epoch 2/5, Loss: 5.1374
Client 2, Epoch 3/5, Loss: 6.0825
Client 2, Epoch 4/5, Loss: 5.9276
Client 2, Epoch 5/5, Loss: 5.1166
Client 2 Accuracy (Round 6): 0.9997
Client 3, Epoch 1/5, Loss: 8.5105
Client 3, Epoch 2/5, Loss: 5.8242
Client 3, Epoch 3/5, Loss: 5.8335
Client 3, Epoch 4/5, Loss: 5.3424
Client 3, Epoch 5/5, Loss: 3.2985
Client 3 Accuracy (Round 6): 0.9995
Global Model, Round 6, Loss: 0.5740, Accuracy: 0.83

--- FedAvg: Round 7 ---
Client 1, Epoch 1/5, Loss: 5.1141
Client 1, Epoch 2/5, Loss: 5.9713
Client 1, Epoch 3/5, Loss: 5.7935
Client 1, Epoch 4/5, Loss: 4.5920
Client 1, Epoch 5/5, Loss: 4.1850
Client 1 Accuracy (Round 7): 1.0000
Client 2, Epoch 1/5, Loss: 5.8130
Client 2, Epoch 2/5, Loss: 6.0542
Client 2, Epoch 3/5, Loss: 4.0709
Client 2, Epoch 4/5, Loss: 4.8256
Client 2, Epoch 5/5, Loss: 4.7389
Client 2 Accuracy (Round 7): 0.9999
Client 3, Epoch 1/5, Loss: 4.8887
Client 3, Epoch 2/5, Loss: 4.9838
Client 3, Epoch 3/5, Loss: 5.2374
Client 3, Epoch 4/5, Loss: 3.6333
Client 3, Epoch 5/5, Loss: 3.7446
Client 3 Accuracy (Round 7): 1.0000
Global Model, Round 7, Loss: 0.5812, Accuracy: 0.83

--- FedAvg: Round 8 ---
Client 1, Epoch 1/5, Loss: 4.4098
Client 1, Epoch 2/5, Loss: 3.9836
Client 1, Epoch 3/5, Loss: 3.6373
Client 1, Epoch 4/5, Loss: 3.5295
Client 1, Epoch 5/5, Loss: 3.3210
Client 1 Accuracy (Round 8): 0.9996
Client 2, Epoch 1/5, Loss: 5.8414
Client 2, Epoch 2/5, Loss: 3.9250
Client 2, Epoch 3/5, Loss: 3.2358
Client 2, Epoch 4/5, Loss: 3.1834
Client 2, Epoch 5/5, Loss: 3.4966
Client 2 Accuracy (Round 8): 0.9999
Client 3, Epoch 1/5, Loss: 5.8102
Client 3, Epoch 2/5, Loss: 3.4840
Client 3, Epoch 3/5, Loss: 4.3063
Client 3, Epoch 4/5, Loss: 3.5659
Client 3, Epoch 5/5, Loss: 3.5562
Client 3 Accuracy (Round 8): 0.9998
Global Model, Round 8, Loss: 0.5708, Accuracy: 0.83

--- FedAvg: Round 9 ---
Client 1, Epoch 1/5, Loss: 4.5186
Client 1, Epoch 2/5, Loss: 3.5218
Client 1, Epoch 3/5, Loss: 2.6241
Client 1, Epoch 4/5, Loss: 2.2021
Client 1, Epoch 5/5, Loss: 3.3303
Client 1 Accuracy (Round 9): 0.9999
Client 2, Epoch 1/5, Loss: 3.1711
Client 2, Epoch 2/5, Loss: 2.3929
Client 2, Epoch 3/5, Loss: 3.0741
Client 2, Epoch 4/5, Loss: 2.9129
Client 2, Epoch 5/5, Loss: 3.3369
Client 2 Accuracy (Round 9): 0.9999
Client 3, Epoch 1/5, Loss: 3.3373
Client 3, Epoch 2/5, Loss: 4.0704
Client 3, Epoch 3/5, Loss: 2.4206
Client 3, Epoch 4/5, Loss: 4.0933
Client 3, Epoch 5/5, Loss: 2.5562
Client 3 Accuracy (Round 9): 0.9999
Global Model, Round 9, Loss: 0.5880, Accuracy: 0.83

--- FedAvg: Round 10 ---
Client 1, Epoch 1/5, Loss: 2.4485
Client 1, Epoch 2/5, Loss: 2.4306
Client 1, Epoch 3/5, Loss: 2.5580
Client 1, Epoch 4/5, Loss: 1.9012
Client 1, Epoch 5/5, Loss: 1.3157
Client 1 Accuracy (Round 10): 1.0000
Client 2, Epoch 1/5, Loss: 2.9210
Client 2, Epoch 2/5, Loss: 3.9027
Client 2, Epoch 3/5, Loss: 3.9994
Client 2, Epoch 4/5, Loss: 2.2475
Client 2, Epoch 5/5, Loss: 2.3986
Client 2 Accuracy (Round 10): 1.0000
Client 3, Epoch 1/5, Loss: 2.1046
Client 3, Epoch 2/5, Loss: 5.0213
Client 3, Epoch 3/5, Loss: 3.4642
Client 3, Epoch 4/5, Loss: 3.6825
Client 3, Epoch 5/5, Loss: 2.2790
Client 3 Accuracy (Round 10): 0.9998
Global Model, Round 10, Loss: 0.5723, Accuracy: 0.83
Classification Report: fedavg ResNet-18
              precision    recall  f1-score   support

    airplane       0.82      0.86      0.84      1000
  automobile       0.86      0.90      0.88      1000
        bird       0.82      0.70      0.76      1000
         cat       0.71      0.58      0.64      1000
        deer       0.77      0.83      0.80      1000
         dog       0.76      0.68      0.72      1000
        frog       0.75      0.91      0.82      1000
       horse       0.86      0.85      0.85      1000
        ship       0.89      0.89      0.89      1000
       truck       0.84      0.89      0.86      1000

    accuracy                           0.81     10000
   macro avg       0.81      0.81      0.81     10000
weighted avg       0.81      0.81      0.81     10000

Classification Report: fedavg ResNet-50
              precision    recall  f1-score   support

    airplane       0.82      0.91      0.86      1000
  automobile       0.91      0.92      0.92      1000
        bird       0.86      0.68      0.76      1000
         cat       0.71      0.67      0.69      1000
        deer       0.74      0.88      0.80      1000
         dog       0.77      0.75      0.76      1000
        frog       0.88      0.88      0.88      1000
       horse       0.88      0.84      0.86      1000
        ship       0.92      0.90      0.91      1000
       truck       0.88      0.91      0.89      1000

    accuracy                           0.83     10000
   macro avg       0.84      0.83      0.83     10000
weighted avg       0.84      0.83      0.83     10000


Performing Inference: fedavg ResNet-18
Prediction: cat, Ground Truth: cat
Prediction: ship, Ground Truth: ship
Prediction: automobile, Ground Truth: ship
Prediction: airplane, Ground Truth: airplane
Prediction: frog, Ground Truth: frog
Prediction: frog, Ground Truth: frog
Prediction: automobile, Ground Truth: automobile
Prediction: frog, Ground Truth: frog
Prediction: cat, Ground Truth: cat
Prediction: automobile, Ground Truth: automobile

Performing Inference: fedavg ResNet-50
Prediction: cat, Ground Truth: cat
Prediction: ship, Ground Truth: ship
Prediction: automobile, Ground Truth: ship
Prediction: airplane, Ground Truth: airplane
Prediction: frog, Ground Truth: frog
Prediction: frog, Ground Truth: frog
Prediction: automobile, Ground Truth: automobile
Prediction: frog, Ground Truth: frog
Prediction: cat, Ground Truth: cat
Prediction: automobile, Ground Truth: automobile
